id;name;zip; additionalNr;commune;bsfNr;abbreviation;alt;long;lang
2227;Mustair;7537;0;Val Mustair;3847;GR;10.4452056;46.6217178;rm
904;Muswangen;6289;0;Hitzkirch;1030;LU;8.2891711;47.2383102;de
3248;Mutrux;1428;2;Mutrux;5563;VD;6.7274853;46.8831139;fr
2103;Mutten;7431;1;Thusis;3668;GR;9.4976359;46.6791990;de
1646;Muttenz;4132;0;Muttenz;2770;BL;7.6544653;47.5209988;de
2966;Muzzano;6933;0;Muzzano;5205;TI;8.9223199;45.9983602;it
1148;Nafels;8752;0;Glarus Nord;1630;GL;9.0570863;47.1011189;de
184;Nanikon;8606;0;Uster;198;ZH;8.6933854;47.3701820;de
1947;Nassen;9123;0;Neckertal;3378;SG;9.1360516;47.3729646;de
86;Nassenwil;8155;1;Niederhasli;90;ZH;8.4714686;47.4657624;de
3572;Naters;3904;0;Naters;6007;VS;7.9837801;46.3267358;de
3698;Nax;1973;0;Mont-Noble;6090;VS;7.4278188;46.2285016;fr
3230;Naz;1041;26;Montilliez;5540;VD;6.6953947;46.6582581;fr
1003;Nebikon;6244;0;Nebikon;1137;LU;7.9746588;47.1912290;de
1949;Necker;9126;0;Neckertal;3378;SG;9.1302065;47.3480750;de
83;Neerach;8173;0;Neerach;88;ZH;8.4745212;47.5134858;de
210;Neftenbach;8413;0;Neftenbach;223;ZH;8.6678246;47.5285589;de
2967;Neggio;6991;0;Neggio;5206;TI;8.8794150;45.9872210;it
1302;Neirivue;1669;4;Haut-Intyamon;2121;FR;7.0580213;46.5252590;fr
3587;Nemiaz (Chamoson);1955;3;Chamoson;6022;VS;7.2235013;46.2123189;fr
4123;Nendeln;9485;0;Eschen;7007;LI;9.5440337;47.1983612;de
1511;Nennigkofen;4574;0;Lusslingen-Nennigkofen;2464;SO;7.4897287;47.1871150;de
1661;Nenzlingen;4224;0;Nenzlingen;2789;BL;7.5570103;47.4474003;de
164;Neschwil;8484;2;Weisslingen;180;ZH;8.7882306;47.4302083;de
2386;Nesselnbach;5524;2;Niederwil (AG);4072;AG;8.2957055;47.3903652;de
1935;Nesslau;9650;0;Nesslau;3360;SG;9.2001465;47.2239158;de
1176;Netstal;8754;0;Glarus;1632;GL;9.0508623;47.0636365;de
1937;Neu St. Johann;9652;0;Nesslau;3360;SG;9.1938433;47.2291045;de
1199;Neuageri;6314;1;Unterageri;1709;ZG;8.5627944;47.1523764;de
3920;Neuchatel;2000;0;Neuchatel;6458;NE;6.9263558;46.9920450;fr
950;Neudorf;6025;0;Beromunster;1081;LU;8.2098761;47.1766095;de
1485;Neuendorf;4623;0;Neuendorf;2404;SO;7.7966640;47.3015433;de
615;Neuenegg;3176;0;Neuenegg;670;BE;7.2984936;46.8971133;de
2356;Neuenhof;5432;0;Neuenhof;4034;AG;8.3236756;47.4457094;de
966;Neuenkirch;6206;0;Neuenkirch;1093;LU;8.2035819;47.0999494;de
1925;Neuhaus SG;8732;0;Eschenbach (SG);3342;SG;8.9471840;47.2423499;de
1743;Neuhausen am Rheinfall;8212;0;Neuhausen am Rheinfall;2937;SH;8.6174466;47.6818262;de
1189;Neuheim;6345;0;Neuheim;1705;ZG;8.5757436;47.2055390;de
2586;Neukirch (Egnach);9315;0;Egnach;4411;TG;9.3694963;47.5287001;de
2620;Neukirch an der Thur;9217;0;Kradolf-Schonenberg;4501;TG;9.1708998;47.5104070;de
1727;Neunkirch;8213;0;Neunkirch;2904;SH;8.4986892;47.6905814;de
2665;Neuwilen;8566;0;Kemmental;4666;TG;9.1342825;47.6199850;de
1364;Neyruz FR;1740;0;Neyruz (FR);2211;FR;7.0652067;46.7678946;fr
3366;Neyruz-sur-Moudon;1515;1;Montanaire;5693;VD;6.7871914;46.6978283;fr
665;Nidau;2560;0;Nidau;743;BE;7.2405563;47.1250401;de
1163;Nidfurn;8772;0;Glarus Sud;1631;GL;9.0513498;46.9869167;de
859;Niederbipp;4704;0;Niederbipp;981;BE;7.7018281;47.2683908;de
1486;Niederbuchsiten;4626;0;Niederbuchsiten;2405;SO;7.7723769;47.2948081;de
1988;Niederburen;9246;0;Niederburen;3422;SG;9.2077856;47.4650906;de
1719;Niederdorf;4435;0;Niederdorf;2891;BL;7.7495808;47.4094533;de
3712;Niedergampel;3945;1;Gampel-Bratsch;6118;VS;7.7141123;46.3122135;de
3771;Niedergesteln;3942;2;Niedergesteln;6198;VS;7.7817807;46.3128822;de
1979;Niederglatt SG;9240;2;Oberuzwil;3407;SG;9.1715918;47.4310166;de
84;Niederglatt ZH;8172;0;Niederglatt;89;ZH;8.5035160;47.4874635;de
1541;Niedergosgen;5013;0;Niedergosgen;2495;SO;7.9881269;47.3774173;de
85;Niederhasli;8155;0;Niederhasli;90;ZH;8.4838115;47.4823249;de
1991;Niederhelfenschwil;9527;0;Niederhelfenschwil;3423;SG;9.1871008;47.4761626;de
584;Niederhunigen;3504;0;Niederhunigen;617;BE;7.6365027;46.8778483;de
2487;Niederlenz;5702;0;Niederlenz;4204;AG;8.1703558;47.4026998;de
751;Niedermuhlern;3087;0;Niedermuhlern;877;BE;7.4653305;46.8613792;de
2648;Niederneunforn;8525;0;Neunforn;4601;TG;8.7780558;47.5952230;de
861;Niederonz;3362;0;Niederonz;982;BE;7.6914704;47.1843564;de
423;Niederosch;3424;0;Ersigen;405;BE;7.6123346;47.1163978;de
